id,budget,revenue
82700,130000000,243843127.00 
10567,127500000,354248063.00 
181533,127000000,349424282.00 
38055,130000000,321887208.00 
671,125000000,976475550.00 
49524,130000000,61648500.00  
22,140000000,655011224.00 
131631,125000000,752100229.00 
591,125000000,767820459.00 
172385,103000000,500188435.00 
36658,110000000,407711549.00 
51497,125000000,626137675.00 
58574,125000000,334615000.00 
18823,125000000,232713139.00 
861,65000000,261317921.00 
1911,160000000,61698899.00  
49040,130000000,276572938.00 
415,125000000,238207122.00 
8871,123000000,345141403.00 
435,125000000,544272402.00 
955,125000000,546388105.00 
2133,120000000,325756637.00 
1979,130000000,289047763.00 
87827,120000000,609016565.00 
1250,110000000,228738393.00 
324668,120000000,415484914.00 
9471,120000000,259175788.00 
70981,130000000,403170142.00 
10996,120000000,169956806.00 
68724,115000000,286140700.00 
2789,105000000,115772733.00 
97020,120000000,242688965.00 
7459,120000000,93945766.00  
42888,120000000,48668907.00  
37834,117000000,261930431.00 
75612,120000000,286168572.00 
1895,113000000,850000000.00 
1894,120000000,649398328.00 
585,115000000,562816256.00 
76170,120000000,415440673.00 
1893,115000000,924317558.00 
49519,135000000,585178928.00 
2395,97250400,132900000.00 
12100,115000000,77628265.00  
290595,115000000,164602163.00 
98566,125000000,477200000.00 
49047,105000000,716392705.00 
9619,116000000,178127760.00 
308531,135000000,245623848.00 
166424,120000000,167977596.00 
1593,110000000,574480841.00 
254128,110000000,470490832.00 
714,110000000,333011068.00 
2024,110000000,215294342.00 
163,110000000,362744280.00 
787,110000000,478207520.00 
262500,110000000,295238201.00 
2567,116000000,102000000.00 
38745,112000000,237382724.00 
40805,120000000,227817248.00 
53182,110000000,337580051.00 
41513,110000000,563749323.00 
13700,110000000,103951461.00 
262504,110000000,179246868.00 
39254,110000000,299268508.00 
77931,105000000,347434178.00 
1639,160000000,164508066.00 
80274,110000000,125537191.00 
1571,110000000,383531464.00 
120,93000000,871368364.00 
10204,110000000,72178895.00  
8489,107000000,87713825.00  
2048,120000000,347234916.00 
1495,130000000,211643158.00 
10137,133000000,300135367.00 
10198,105000000,267045765.00 
286217,108000000,630161890.00 
1635,126000000,162949164.00 
24113,90000000,10372291.00  
9679,90000000,237202299.00 
98,103000000,457640427.00 
180,102000000,358372926.00 
672,100000000,876688482.00 
36557,150000000,599045960.00 
869,100000000,362211740.00 
280,100000000,520000000.00 
11322,80000000,214104620.00 
4982,100000000,266465037.00 
36955,115000000,378882411.00 
18487,100000000,150166126.00 
39451,100000000,310650585.00 
27581,100000000,170432927.00 
9268,100000000,242295562.00 
68718,100000000,425368238.00 
10545,100000000,100138851.00 
11688,100000000,169327687.00 
76163,100000000,312573423.00 
2059,100000000,347451894.00 
2486,100000000,249288105.00 
16523,100000000,100086793.00 
116711,100000000,268426634.00 
37710,100000000,278731369.00 
9946,100000000,211989043.00 
1372,100000000,170877916.00 
106646,100000000,392000694.00 
414,100000000,336529144.00 
563,105000000,121214377.00 
83542,102000000,130482868.00 
41216,80000000,140073390.00 
314,100000000,82102379.00  
184315,100000000,243400000.00 
